Year,Quarter,Product Model,5G Capability,Units Sold,Revenue ($),Market Share (%),Regional 5G Coverage (%),5G Subscribers (millions),Avg 5G Speed (Mbps),Preference for 5G (%),Region
2019,Q1,Galaxy S10,No,26396,4212951.048,1.04,57.36,39.55,293.1,55.87,Asia-Pacific
2019,Q1,Galaxy Note10,No,25671,7240265.603999999,2.82,85.8,42.58,67.46,37.26,Latin America
2019,Q1,Galaxy S20,No,16573,25608331.51,-0.03,47.02,3.78,77.25,84.66,Middle East & Africa
2019,Q1,Galaxy Note20,No,7177,21984415.83,0.8400000000000001,25.7,23.41,105.27,40.03,North America
2019,Q1,Galaxy S21,No,45633,16342437.5,2.36,89.13,44.43,206.17,76.88,Latin America
2019,Q1,Galaxy A32 5G,Yes,15912,17178326.9,5.41,59.12,12.14,179.15,80.79,Middle East & Africa
2019,Q1,Galaxy A52 5G,Yes,7231,48639810.19,5.9,52.94,44.36,259.16,77.55,Latin America
2019,Q1,Galaxy A73 5G,Yes,58711,70175779.07,4.92,79.95,49.7,191.42,74.83,Europe
2019,Q1,Galaxy Z Fold2 5G,Yes,40641,51959555.76,2.64,44.77,31.27,151.18,66.50999999999999,North America
2019,Q1,Galaxy Z Flip3 5G,Yes,38119,49899540.8,6.84,51.21,38.33,284.33,87.01,Latin America
2019,Q1,Galaxy S22 5G,Yes,36255,12091673.94,4.66,56.5,9.77,81.43,85.88,Middle East & Africa
2019,Q1,Galaxy Z Fold3 5G,Yes,19643,36029498.52,5.67,76.62,22.84,220.82,88.16,Asia-Pacific
2019,Q1,Galaxy A14 5G,Yes,12612,57161551.82,3.24,64.47999999999999,14.98,161.49,85.67,Middle East & Africa
2019,Q1,Galaxy S23 5G,Yes,22722,45310946.808000006,2.88,87.12,19.04,233.87,45.66,Europe
2019,Q1,Galaxy Z Flip5 5G,Yes,8453,46937282.29,3.48,72.72999999999999,23.32,130.87,53.81,Latin America
2019,Q2,Galaxy S10,No,19160,6660064.8,1.56,67.69,14.6,156.93,64.04,Middle East & Africa
2019,Q2,Galaxy Note10,No,38253,53195937.003000006,-0.05,76.73,31.96,273.85,38.28,Middle East & Africa
2019,Q2,Galaxy S20,No,17404,14950208.85,2.51,38.86,36.38,105.21,67.78,Middle East & Africa
2019,Q2,Galaxy Note20,No,27841,9787426.515,3.96,75.22,46.41,283.25,44.96,Middle East & Africa
2019,Q2,Galaxy S21,No,10047,10691516.9,1.56,45.75,15.36,112.81,85.33,Middle East & Africa
2019,Q2,Galaxy A32 5G,Yes,25054,40495943.74,4.640000000000001,67.39,21.03,212.78,63.69,Europe
2019,Q2,Galaxy A52 5G,Yes,37263,29763310.31,2.76,55.56,16.03,263.32,64.63,Asia-Pacific
2019,Q2,Galaxy A73 5G,Yes,39191,19631909.34,3.35,100.83,49.18,59.84,53.2,North America
2019,Q2,Galaxy Z Fold2 5G,Yes,11320,36678245.92,5.99,50.12,43.18,251.51,88.81,North America
2019,Q2,Galaxy Z Flip3 5G,Yes,31105,12818738.02,4.77,93.04,20.52,110.55,73.07,North America
2019,Q2,Galaxy S22 5G,Yes,24185,52192972.55,2.95,40.55,46.73,200.47,83.06,Middle East & Africa
2019,Q2,Galaxy Z Fold3 5G,Yes,8422,11292488.05,6,55.76,30.55,170.31,78.44,Latin America
2019,Q2,Galaxy A14 5G,Yes,56397,18390883.85,6.11,70.96000000000001,23.8,167.75,55.21,North America
2019,Q2,Galaxy S23 5G,Yes,36613,63070767.79,3.25,83.96,13.22,280.73,75.51,North America
2019,Q2,Galaxy Z Flip5 5G,Yes,12030,33549565.92,5.82,48.62,36.32,227.63,91.79,Latin America
2019,Q3,Galaxy S10,No,27112,27051337.74,3.78,61.35,47.48,152,50.23,North America
2019,Q3,Galaxy Note10,No,28788,10130230.56,1.38,25.88,6.92,129.04,46.41,Middle East & Africa
2019,Q3,Galaxy S20,No,29329,11066723.12,1.23,57.98,32.34,132.81,77.31,Asia-Pacific
2019,Q3,Galaxy Note20,No,12535,28466176.11,2.09,55.61,31.12,111.28,47.14,Latin America
2019,Q3,Galaxy S21,No,20683,15828498.96,0.3400000000000001,30.32,-0.65,239.67,46.13,Europe
2019,Q3,Galaxy A32 5G,Yes,57404,22248956.96,6.12,83.5,46.57,211.08,58.89,Europe
2019,Q3,Galaxy A52 5G,Yes,56869,78970161.31199999,6.12,102.54,21.09,83.18,94.7,Latin America
2019,Q3,Galaxy A73 5G,Yes,6542,13222480.68,3.5,88.84,26.74,115.63,54.75,Asia-Pacific
2019,Q3,Galaxy Z Fold2 5G,Yes,57951,41600297.39,2.72,55.58,17.57,184.77,67.9,Asia-Pacific
2019,Q3,Galaxy Z Flip3 5G,Yes,25004,28940719.49,6.33,45.56,44.29,124.19,54.15,Europe
2019,Q3,Galaxy S22 5G,Yes,15756,19796585.92,3.58,76.64,36.22,206.39,88.16,Middle East & Africa
2019,Q3,Galaxy Z Fold3 5G,Yes,56418,53656997.8,6.91,54.03,24.27,61.49,87.97,Middle East & Africa
2019,Q3,Galaxy A14 5G,Yes,30819,60274563.34,3.44,41.17,26.42,199.68,61.6,North America
2019,Q3,Galaxy S23 5G,Yes,18284,26788292.56,6.45,80,23.63,137.73,81.32,Latin America
2019,Q3,Galaxy Z Flip5 5G,Yes,48617,6134803.464,6.48,91.79,54.94,88.28,82.55,Latin America
2019,Q4,Galaxy S10,No,30040,34166065.19,1.5699999999999998,28.49,47.01,243.47,58.24,North America
2019,Q4,Galaxy Note10,No,40978,52202051.46,0.3400000000000001,39.98,44.96,130.25,45.44,Europe
2019,Q4,Galaxy S20,No,46113,23485210.48,1.89,69.9,13.34,167.31,45.48,Europe
2019,Q4,Galaxy Note20,No,8438,35324703.52,2.29,80.9,10.53,80.15,75.72,Middle East & Africa
2019,Q4,Galaxy S21,No,23500,33337345.93,3.74,33.06,18.7,73.31,70.74,Europe
2019,Q4,Galaxy A32 5G,Yes,40164,21739755.84,3.76,50.13,13.99,210.05,58.83,Latin America
2019,Q4,Galaxy A52 5G,Yes,53367,69827344.42,6.1,95.93,47.57,185.7,93.45,North America
2019,Q4,Galaxy A73 5G,Yes,37612,34802846.64,2.53,66.46000000000001,24.02,120.07,87.24,Middle East & Africa
2019,Q4,Galaxy Z Fold2 5G,Yes,31445,62662104.5,4.859999999999999,61.44,27.46,183.03,72.21,Asia-Pacific
2019,Q4,Galaxy Z Flip3 5G,Yes,34541,23308775.82,4.029999999999999,59.35,8.370000000000001,138.67,80.35,Latin America
2019,Q4,Galaxy S22 5G,Yes,6719,38311286.36,5.38,42.55,50.32,110.97,87.8,Asia-Pacific
2019,Q4,Galaxy Z Fold3 5G,Yes,32919,38143238.39,6.62,79.48,45.85,295.62,58.71,North America
2019,Q4,Galaxy A14 5G,Yes,46371,71988709.97,3.21,88.89,48.87,265.71,90.81,Europe
2019,Q4,Galaxy S23 5G,Yes,40084,17163852.827999998,6.33,42.8,48.55,156.88,53.55,Asia-Pacific
2019,Q4,Galaxy Z Flip5 5G,Yes,20192,14639182.7,4.609999999999999,48.26,50.86,195.2,60.91,Latin America
2020,Q1,Galaxy S10,No,17825,37347187.77,0.1599999999999999,62.97,26.44,245.48,75.23,Europe
2020,Q1,Galaxy Note10,No,21472,34965645.31,0.25,49.22,24.99,247.01,80.17,Latin America
2020,Q1,Galaxy S20,No,35641,48775290.39,3.88,60.510000000000005,6.1,196.59,78.94,North America
2020,Q1,Galaxy Note20,No,18960,25972084.14,0.53,72.69,26.51,157.1,53.68,Latin America
2020,Q1,Galaxy S21,No,18546,42315159.99,1.81,58.09,33.08,110.9,49.63,Latin America
2020,Q1,Galaxy A32 5G,Yes,42883,18588730.37,6.37,72.87,45.86,273.59,52.9,Asia-Pacific
2020,Q1,Galaxy A52 5G,Yes,49662,52134225.08,2.9,96.42,52.2,187.23,76.5,Middle East & Africa
2020,Q1,Galaxy A73 5G,Yes,48484,10752134.16,3.75,41.49,10.67,87.88,79.09,Middle East & Africa
2020,Q1,Galaxy Z Fold2 5G,Yes,11438,56002244.29,6.33,93.95,52.02,168.24,63.04,Asia-Pacific
2020,Q1,Galaxy Z Flip3 5G,Yes,58199,35481161.41,5.66,42.96,27.95,151.66,52.29,Latin America
2020,Q1,Galaxy S22 5G,Yes,40807,28409469.32,3.04,47.56,33.59,95.38,57.91,Latin America
2020,Q1,Galaxy Z Fold3 5G,Yes,27476,29188076.98,4.96,54.96,34.620000000000005,228.07,69.24,North America
2020,Q1,Galaxy A14 5G,Yes,25491,13470114.8,6.6,70,41.55,54.56,66.45,Middle East & Africa
2020,Q1,Galaxy S23 5G,Yes,57319,64038833.05,5.25,98.77,44.44,187.76,51.45,North America
2020,Q1,Galaxy Z Flip5 5G,Yes,53118,71564619.92,4.21,103.57,52.17,120.41,76.81,North America
2020,Q2,Galaxy S10,No,21197,22480526.16,1.84,39.26,10.62,193.23,38.5,Latin America
2020,Q2,Galaxy Note10,No,8785,16339172.24,-0.36,50.5,16.16,96.06,70.49,Europe
2020,Q2,Galaxy S20,No,43775,10852645.86,2.71,42.03,29.43,282.82,64.08,Europe
2020,Q2,Galaxy Note20,No,29178,41803911.05,2.59,47.84,16.52,134.32,74.93,Latin America
2020,Q2,Galaxy S21,No,8601,32922566.24,2.99,82.16,47.56,139.42,52.96,Asia-Pacific
2020,Q2,Galaxy A32 5G,Yes,51214,22604101.45,3.88,98.74,29.87,153.45,54.94,North America
2020,Q2,Galaxy A52 5G,Yes,58086,50254952.18,6.19,46.93,40.93,130.68,54.46,Europe
2020,Q2,Galaxy A73 5G,Yes,63974,66783552.34,4.99,43.38,39.44,264.15,79.22,Middle East & Africa
2020,Q2,Galaxy Z Fold2 5G,Yes,47829,6077295.048,3.59,88.79,32.57,175.9,45.25,North America
2020,Q2,Galaxy Z Flip3 5G,Yes,41163,19005446.11,4.79,51.77,44.26,210.86,88.02,Europe
2020,Q2,Galaxy S22 5G,Yes,27381,65294982.83,2.65,62.02,25.37,130.24,86.46,North America
2020,Q2,Galaxy Z Fold3 5G,Yes,61462,55137531.49199999,5.779999999999999,89.44,51.04,280.82,85.04,Latin America
2020,Q2,Galaxy A14 5G,Yes,10455,27982805.1,6.83,69.1,10.39,105.02,75.93,Latin America
2020,Q2,Galaxy S23 5G,Yes,53896,47982928.72799999,3.17,75.16,22.74,92.93,86.89,Latin America
2020,Q2,Galaxy Z Flip5 5G,Yes,47830,79207664.34,3.46,58.97,52.43,236.28,50.08,Asia-Pacific
2020,Q3,Galaxy S10,No,27328,31739575.95,-0.42,68.61,19.37,57.25,41.31,Middle East & Africa
2020,Q3,Galaxy Note10,No,38772,27841226.88,3.4800000000000004,60.92,27.62,136.07,84.47,Europe
2020,Q3,Galaxy S20,No,7511,31385211.28,1.48,60,1.6800000000000002,52.52,85.45,North America
2020,Q3,Galaxy Note20,No,16212,59842662.15,0.3600000000000001,81.98,6.720000000000001,59.98,45.43,Middle East & Africa
2020,Q3,Galaxy S21,No,44767,6397386.2190000005,2.66,65.67,24.92,94.9,53.63,Middle East & Africa
2020,Q3,Galaxy A32 5G,Yes,29628,50812407.27599999,5.109999999999999,88.32,13.49,66.69,63.04,Asia-Pacific
2020,Q3,Galaxy A52 5G,Yes,63137,23567297.83,4.79,66.15,49.64,94.47,82.6,North America
2020,Q3,Galaxy A73 5G,Yes,56115,16158944.45,6.22,91.44,29.96,193.54,89.31,Europe
2020,Q3,Galaxy Z Fold2 5G,Yes,33872,60050676.8,2.94,88.63,27.11,186.09,61.17,Middle East & Africa
2020,Q3,Galaxy Z Flip3 5G,Yes,56598,9650777.532,6.61,77.65,26.15,69.04,88.7,Latin America
2020,Q3,Galaxy S22 5G,Yes,8082,53518254.12,3.35,102.49,49.53,289.41,93.02,Europe
2020,Q3,Galaxy Z Fold3 5G,Yes,53108,8982957.78,6.02,47.8,32.45,100.39,59.44,Latin America
2020,Q3,Galaxy A14 5G,Yes,42820,5518854.455999999,6.58,41.010000000000005,18.12,169.67,79.56,Europe
2020,Q3,Galaxy S23 5G,Yes,55164,9027240.924,4.77,48.66,29.6,94.48,55.85,Europe
2020,Q3,Galaxy Z Flip5 5G,Yes,12993,7444019.256,3.67,53.23,49.96,236.45,87.73,North America
2020,Q4,Galaxy S10,No,49522,13749933.39,0.73,68.38,46.89,221.54,67.28,North America
2020,Q4,Galaxy Note10,No,35672,43822054.96,0.8400000000000001,44.22,46.9,285.05,50.09,Asia-Pacific
2020,Q4,Galaxy S20,No,23896,18747121.28,-0.49,32.09,10.83,225.49,56.78,Middle East & Africa
2020,Q4,Galaxy Note20,No,7473,19621770.61,3.88,74.66,27.55,177.22,72.36,North America
2020,Q4,Galaxy S21,No,11913,41627181.2,-0.35,64.46,0.8399999999999999,155.16,44.89,Latin America
2020,Q4,Galaxy A32 5G,Yes,39692,34859771.57,6.62,87.81,39.64,189.6,62.18,Asia-Pacific
2020,Q4,Galaxy A52 5G,Yes,48805,32349455.4,4.42,99.33,33.79,96.26,57.17,North America
2020,Q4,Galaxy A73 5G,Yes,8115,44826833.53,4.65,62.42,41.52,295.85,48.71,Asia-Pacific
2020,Q4,Galaxy Z Fold2 5G,Yes,52951,13524137.65,2.83,73.07,27.79,52.85,70.84,Europe
2020,Q4,Galaxy Z Flip3 5G,Yes,40353,16476389.24,3.06,46.41,21.11,194.98,54.61,Middle East & Africa
2020,Q4,Galaxy S22 5G,Yes,26015,13548942.443999998,5.19,92.87,45.67,248.52,85.87,North America
2020,Q4,Galaxy Z Fold3 5G,Yes,11163,12032304.635999998,3.84,40.71,45.09,122.22,83.63,North America
2020,Q4,Galaxy A14 5G,Yes,36975,33358884.74,5.359999999999999,74.28,33.57,72.54,57.77,North America
2020,Q4,Galaxy S23 5G,Yes,28163,76740547.76,6.5,49.19,23.05,154.42,78.77,Latin America
2020,Q4,Galaxy Z Flip5 5G,Yes,49246,5030391.84,6.07,51.07,47.75,137.42,71.5,Middle East & Africa
2021,Q1,Galaxy S10,No,44456,14331275.99,0.6499999999999999,61.11,40.37,129.5,66.93,North America
2021,Q1,Galaxy Note10,No,6548,54168172.52,2.64,63.010000000000005,17.85,279.58,73.97,Europe
2021,Q1,Galaxy S20,No,36129,28657040.44,0.49,60.6,1.5699999999999998,209.38,62.41,Middle East & Africa
2021,Q1,Galaxy Note20,No,36476,9769649.436,0.3999999999999999,67.05,29.96,138.12,52.54,Europe
2021,Q1,Galaxy S21,No,34090,7777936.368,3.54,71.27,41.68,171.59,50.17,Middle East & Africa
2021,Q1,Galaxy A32 5G,Yes,30278,12377641.48,3.86,40.510000000000005,51.79,184.8,61.75,Middle East & Africa
2021,Q1,Galaxy A52 5G,Yes,57898,19848318.31,4.43,45.27,23.12,277.65,55.07,Latin America
2021,Q1,Galaxy A73 5G,Yes,44847,14310727.31,5.07,66.56,16.83,97.53,53.5,Europe
2021,Q1,Galaxy Z Fold2 5G,Yes,6557,41433407.51,2.69,94.68,54.35,127.45,85.11,Asia-Pacific
2021,Q1,Galaxy Z Flip3 5G,Yes,58334,67042799.4,6.02,90.08,10.35,102.66,60.11,Europe
2021,Q1,Galaxy S22 5G,Yes,42025,46339655.03,4.66,82.85,36.11,176.96,71.11,North America
2021,Q1,Galaxy Z Fold3 5G,Yes,8612,30287874.85,3.62,54.88,52.25,288.87,72.55,Asia-Pacific
2021,Q1,Galaxy A14 5G,Yes,33689,37582037.58,6.06,97.44,25.59,133.77,92.93,Europe
2021,Q1,Galaxy S23 5G,Yes,60093,79592293.16399999,3.24,68.56,48.17,130.83,75.69,Latin America
2021,Q1,Galaxy Z Flip5 5G,Yes,50612,24547804.33,4.38,76.13,16.43,58.21,60.85,Asia-Pacific
2021,Q2,Galaxy S10,No,33392,40200175.95,-0.14,69.32,24.76,255.14,39.33,North America
2021,Q2,Galaxy Note10,No,20351,10720475.02,3.45,77.71,3.3,285.13,73.56,North America
2021,Q2,Galaxy S20,No,9689,18237818.16,-0.39,45.74,39.58,291.06,65.82,North America
2021,Q2,Galaxy Note20,No,19360,21067765.94,0.71,72.25,24.64,119.68,71.1,Latin America
2021,Q2,Galaxy S21,No,41937,10442280.66,-0.2,67,23.33,106.63,42.6,Asia-Pacific
2021,Q2,Galaxy A32 5G,Yes,26634,17977115.15,2.97,45.93,52.08,238.86,74.08,Middle East & Africa
2021,Q2,Galaxy A52 5G,Yes,36653,38555751.19,4.34,88.65,27.12,280.3,66,Middle East & Africa
2021,Q2,Galaxy A73 5G,Yes,61958,56094433.85999999,4.58,59.36,24.48,62.63,92.83,Asia-Pacific
2021,Q2,Galaxy Z Fold2 5G,Yes,6501,38321092.72,5.279999999999999,74.46,32.11,93.6,93.25,Latin America
2021,Q2,Galaxy Z Flip3 5G,Yes,31267,31015491.11,3.1100000000000003,75.22,36.29,75.66,48.08,Europe
2021,Q2,Galaxy S22 5G,Yes,27446,66537700.59599999,5.890000000000001,93.07,25.38,199.61,89.51,North America
2021,Q2,Galaxy Z Fold3 5G,Yes,60479,80946999.25199999,4.359999999999999,41.23,45.34,215.46,49.82,Latin America
2021,Q2,Galaxy A14 5G,Yes,33576,15758344.55,6.65,73.37,14.85,69.65,58.52,Europe
2021,Q2,Galaxy S23 5G,Yes,53719,32766472.26,2.82,96.44,40.48,160.45,71.77,Latin America
2021,Q2,Galaxy Z Flip5 5G,Yes,34710,17998844.95,5.279999999999999,61.27,11.75,237.56,76.8,Middle East & Africa
2021,Q3,Galaxy S10,No,39031,18608941.01,3.81,33.54,15.3,107.98,58.3,Asia-Pacific
2021,Q3,Galaxy Note10,No,34903,18518248.49,2.05,53.32,5.41,217.97,54.81,Europe
2021,Q3,Galaxy S20,No,35996,23537405.35,3.53,37.57,31.68,291.12,85.21,Latin America
2021,Q3,Galaxy Note20,No,42820,29532856.46,-0.47,68.24,19.11,188.16,46.5,Latin America
2021,Q3,Galaxy S21,No,28881,21441364.65,0.6599999999999999,41.69,44.53,269.38,59.06,Middle East & Africa
2021,Q3,Galaxy A32 5G,Yes,55419,10737537.96,2.59,68.8,35.980000000000004,196.85,72.96,Middle East & Africa
2021,Q3,Galaxy A52 5G,Yes,7872,5221237.332,4.109999999999999,54.57,44.85,202.32,88.65,Europe
2021,Q3,Galaxy A73 5G,Yes,24758,51101597.95,4.720000000000001,98.62,35.629999999999995,259.73,81.14,Middle East & Africa
2021,Q3,Galaxy Z Fold2 5G,Yes,50384,16798329.65,4.359999999999999,89.43,51.51,132.01,80.99,Asia-Pacific
2021,Q3,Galaxy Z Flip3 5G,Yes,8281,15827206.45,2.87,97.24,49.02,297.81,77.33,North America
2021,Q3,Galaxy S22 5G,Yes,54330,37269680.39,6.02,48.4,15.34,212.64,88.87,Middle East & Africa
2021,Q3,Galaxy Z Fold3 5G,Yes,32683,17951923.895999998,4.859999999999999,53.85,21.86,99.2,71.55,Europe
2021,Q3,Galaxy A14 5G,Yes,58052,45303231.34,5.93,82.65,33.54,271.18,90.26,Asia-Pacific
2021,Q3,Galaxy S23 5G,Yes,28022,33044277.48,3.7,91.77,8.11,274.8,87,Europe
2021,Q3,Galaxy Z Flip5 5G,Yes,55987,5330566.680000001,2.81,47.52,46.97,166.12,82.49,Asia-Pacific
2021,Q4,Galaxy S10,No,5309,30375439.56,-0.17,38.35,33.49,297.3,66.82,Asia-Pacific
2021,Q4,Galaxy Note10,No,39415,15774523.4,3.4400000000000004,72.4,38.09,242.8,86.48,North America
2021,Q4,Galaxy S20,No,7734,10384187.42,2.43,37.34,20.93,122.97,82.42,Latin America
2021,Q4,Galaxy Note20,No,40180,8451472.220999999,3.22,52.55,44.45,97.8,53.34,Europe
2021,Q4,Galaxy S21,No,39509,57709591.71,0.4399999999999999,52.43,9.26,214.47,84.68,Middle East & Africa
2021,Q4,Galaxy A32 5G,Yes,7653,25848407.75,6.33,66.02000000000001,9.81,183.48,54.28,Middle East & Africa
2021,Q4,Galaxy A52 5G,Yes,10112,41338291.91,3.44,40.870000000000005,37.22,93.6,72.67,Asia-Pacific
2021,Q4,Galaxy A73 5G,Yes,63494,10304716.72,3.98,74.63,53.48,296.12,93.14,North America
2021,Q4,Galaxy Z Fold2 5G,Yes,40197,47733241.81,4.21,63.71,37.93,70.52,74.59,Europe
2021,Q4,Galaxy Z Flip3 5G,Yes,28000,39976458.88,6.67,56.79,11.35,240.77,51.48,Asia-Pacific
2021,Q4,Galaxy S22 5G,Yes,30537,33782555.279999994,6.26,48.75,15.75,162.28,64.74000000000001,Latin America
2021,Q4,Galaxy Z Fold3 5G,Yes,16890,10789418.339999998,3.3600000000000003,73.7,27.02,202.39,52.08,Europe
2021,Q4,Galaxy A14 5G,Yes,50895,58673135.23,5.33,57.73,31.67,226.07,94.36,Asia-Pacific
2021,Q4,Galaxy S23 5G,Yes,14293,84264943.84,3.84,95.98,19.39,139.82,81.79,Asia-Pacific
2021,Q4,Galaxy Z Flip5 5G,Yes,18172,7206944.652,5.16,68.44,22.27,184.61,68.86,Europe
2022,Q1,Galaxy S10,No,23678,23302026.23,0.5800000000000001,45.61,43.79,156.56,72.06,Europe
2022,Q1,Galaxy Note10,No,24682,30388420.881000005,3.89,65.35,41.22,202.74,65.05,Latin America
2022,Q1,Galaxy S20,No,49869,25015561.71,-0.1,66.77,25.65,137.77,75.23,North America
2022,Q1,Galaxy Note20,No,5718,47611430.59,3.4000000000000004,60.400000000000006,15.37,128.61,41.67,North America
2022,Q1,Galaxy S21,No,35233,10414206.28,2.01,84.7,12.7,92.35,51.97,North America
2022,Q1,Galaxy A32 5G,Yes,41857,71129083.79,4.859999999999999,73.91,45.53,173.38,53.59,Europe
2022,Q1,Galaxy A52 5G,Yes,33814,62983632.7,4.5600000000000005,57.41,21.53,170.67,72.61,Europe
2022,Q1,Galaxy A73 5G,Yes,35418,14482116.28,4.01,91.45,6.5600000000000005,157.75,57.04,Europe
2022,Q1,Galaxy Z Fold2 5G,Yes,39933,18632947.1,2.56,91.48,41.08,272.72,57.82,Europe
2022,Q1,Galaxy Z Flip3 5G,Yes,6800,6213699.612,6.1,52.04,54.21,81.93,52.88,Middle East & Africa
2022,Q1,Galaxy S22 5G,Yes,6787,52571041.67,4.93,103.73,29.49,274.81,47.7,Latin America
2022,Q1,Galaxy Z Fold3 5G,Yes,34677,15661456.58,6.11,101.07,48.06,165.76,55.31,Latin America
2022,Q1,Galaxy A14 5G,Yes,27735,60038350.75,6.4,42.86,50.44,118.36,80.72,North America
2022,Q1,Galaxy S23 5G,Yes,51810,14517045.839999998,5.73,51.7,7.359999999999999,174.15,73.56,Asia-Pacific
2022,Q1,Galaxy Z Flip5 5G,Yes,46166,19455487.42,4.54,59.94,13.25,195.16,74.46,Latin America
2022,Q2,Galaxy S10,No,47075,9011313.36,3.1500000000000004,87.8,23.96,79.96,66.24,Latin America
2022,Q2,Galaxy Note10,No,5465,14185149.88,1.97,73.54,45.99,292.18,37.14,North America
2022,Q2,Galaxy S20,No,22036,14156370.64,2.12,60.31,-0.89,298.7,43.46,Asia-Pacific
